f1,f2,f3,animal,color,Yield
0.3,0.3,0.0,cat,brown,-46.569698082923566
0.1,0.3,5.0,dog,black,-50.26942351503281
0.2,0.0,0.0,dog,yellow,-51.75105783648955
0.3,0.3,15.0,cat,brown,-46.569698082923566
0.1,0.1,0.0,cat,brown,-52.526278275832624
0.3,0.2,20.0,cat,brown,-47.626530438233026
0.3,0.0,10.0,cat,black,-49.80019514885193
0.0,0.0,10.0,dog,brown,-55.602112642270264
0.0,0.2,20.0,dog,yellow,-53.242112642270264
0.2,0.1,5.0,dog,black,-50.62368633765316
0.2,0.1,-5.0,cat,yellow,-50.62368633765316
0.0,0.2,15.0,dog,black,-53.242112642270264
0.0,0.0,10.0,cat,yellow,-55.602112642270264
0.2,0.0,15.0,cat,black,-51.75105783648955
0.1,0.2,10.0,dog,black,-51.38785089543271
0.1,0.3,5.0,cat,yellow,-50.26942351503281
0.0,0.2,5.0,dog,yellow,-53.242112642270264
0.0,0.1,20.0,cat,black,-54.412112642270266
0.3,0.0,0.0,cat,brown,-49.80019514885193
0.2,0.0,-10.0,cat,brown,-51.75105783648955
0.3,0.3,-5.0,cat,brown,-46.569698082923566
