f1,f2,f3,animal,color,Yield
0.3,0.3,0.0,0.0,0.0,-46.569698082923566
0.1,0.3,5.0,1.0,1.0,-50.26942351503281
0.2,0.0,0.0,1.0,2.0,-51.75105783648955
0.3,0.3,15.0,0.0,0.0,-46.569698082923566
0.1,0.1,0.0,0.0,0.0,-52.526278275832624
0.3,0.2,20.0,0.0,0.0,-47.626530438233026
0.3,0.0,10.0,0.0,1.0,-49.80019514885193
0.0,0.0,10.0,1.0,0.0,-55.602112642270264
0.0,0.2,20.0,1.0,2.0,-53.242112642270264
0.2,0.1,5.0,1.0,1.0,-50.62368633765316
0.2,0.1,-5.0,0.0,2.0,-50.62368633765316
0.0,0.2,15.0,1.0,1.0,-53.242112642270264
0.0,0.0,10.0,0.0,2.0,-55.602112642270264
0.2,0.0,15.0,0.0,1.0,-51.75105783648955
0.1,0.2,10.0,1.0,1.0,-51.38785089543271
0.1,0.3,5.0,0.0,2.0,-50.26942351503281
0.0,0.2,5.0,1.0,2.0,-53.242112642270264
0.0,0.1,20.0,0.0,1.0,-54.412112642270266
0.3,0.0,0.0,0.0,0.0,-49.80019514885193
0.2,0.0,-10.0,0.0,0.0,-51.75105783648955
0.3,0.3,-5.0,0.0,0.0,-46.569698082923566
